year,oshpd_id,facility_name,county_name,er_service_level_desc,ed_admit,ed_visit,burden_score,facility_id
2014,106190470,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE,LOS ANGELES,BASIC,12326.0,58251.0,0.8077100668758589,providence-little-company-of-mary-medical-center-torrance
2014,106190475,COMMUNITY HOSPITAL LONG BEACH,LOS ANGELES,BASIC,4086.0,19800.0,0.2745473781418689,community-hospital-long-beach
2014,106190500,CEDARS-SINAI MARINA DEL REY HOSPITAL,LOS ANGELES,BASIC,2608.0,21107.0,0.2926702783050721,cedars-sinai-marina-del-rey-hospital
2014,106190517,PROVIDENCE TARZANA MEDICAL CENTER,LOS ANGELES,BASIC,7619.0,31140.0,0.4317881492594847,providence-tarzana-medical-center
2014,106190521,MEMORIAL HOSPITAL OF GARDENA,LOS ANGELES,BASIC,5282.0,34898.0,0.4838966869896435,memorial-hospital-of-gardena
2014,106190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,LOS ANGELES,BASIC,5860.0,31766.0,0.4404682835381115,glendale-memorial-hospital-and-health-center
2014,106190524,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,LOS ANGELES,BASIC,5731.0,14294.0,0.1982010213717108,mission-community-hospital---panorama-campus
2014,106190525,MEMORIALCARE LONG BEACH MEDICAL CENTER,LOS ANGELES,BASIC,14320.0,81840.0,1.134795829653058,memorialcare-long-beach-medical-center
2014,106190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,LOS ANGELES,BASIC,10931.0,35759.0,0.49583533813005504,methodist-hospital-of-southern-california
2014,106190534,OLYMPIA MEDICAL CENTER,LOS ANGELES,BASIC,3040.0,21947.0,0.3043177428323029,olympia-medical-center
2014,106190547,MONTEREY PARK HOSPITAL,LOS ANGELES,BASIC,2013.0,13896.0,0.19268234175047527,monterey-park-hospital
2014,106190555,CEDARS SINAI MEDICAL CENTER,LOS ANGELES,BASIC,21898.0,64567.0,0.8952879072972753,cedars-sinai-medical-center
2014,106190568,NORTHRIDGE HOSPITAL MEDICAL CENTER,LOS ANGELES,BASIC,9739.0,47233.0,0.6549341571603482,northridge-hospital-medical-center
2014,106190570,NORWALK COMMUNITY HOSPITAL,LOS ANGELES,BASIC,2104.0,4947.0,0.06859524644786998,norwalk-community-hospital
2014,106190587,COLLEGE MEDICAL CENTER,LOS ANGELES,BASIC,4372.0,9990.0,0.13852163169885204,college-medical-center
2014,106190630,POMONA VALLEY HOSPITAL MEDICAL CENTER,LOS ANGELES,BASIC,8891.0,81301.0,1.1273220399147517,pomona-valley-hospital-medical-center
2014,106190631,PIH HEALTH HOSPITAL - WHITTIER,LOS ANGELES,BASIC,11665.0,60209.0,0.8348597520476659,pih-health-hospital---whittier
2014,106190636,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL,LOS ANGELES,BASIC,9667.0,50032.0,0.6937451728885851,emanate-health-queen-of-the-valley-hospital
2014,106190673,SAN DIMAS COMMUNITY HOSPITAL,LOS ANGELES,BASIC,2075.0,14661.0,0.20328985408777475,san-dimas-community-hospital
2014,106190680,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO,LOS ANGELES,BASIC,3822.0,35239.0,0.4886250029465312,providence-little-company-of-mary-mc---san-pedro
2014,106190687,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL,LOS ANGELES,BASIC,8401.0,31482.0,0.43653033124557156,santa-monica---ucla-medical-center-and-orthopaedic-hospital
2014,106190696,PACIFICA HOSPITAL OF THE VALLEY,LOS ANGELES,BASIC,2972.0,11477.0,0.15914041711789037,pacifica-hospital-of-the-valley
2014,106190708,SHERMAN OAKS HOSPITAL,LOS ANGELES,BASIC,5193.0,19820.0,0.2748246987258506,sherman-oaks-hospital
2014,106190754,ST. FRANCIS MEDICAL CENTER,LOS ANGELES,BASIC,10256.0,68691.0,0.9524714117142988,st-francis-medical-center
2014,106190756,PROVIDENCE SAINT JOHN'S HEALTH CENTER,LOS ANGELES,BASIC,5618.0,21477.0,0.29780070910873324,providence-saint-johns-health-center
2014,106190758,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,LOS ANGELES,BASIC,9438.0,54016.0,0.7489874332177369,providence-saint-joseph-medical-center
2014,106190762,ST. VINCENT MEDICAL CENTER,LOS ANGELES,STANDBY,4242.0,13036.0,0.18075755663926277,st-vincent-medical-center
2014,106190766,COAST PLAZA HOSPITAL,LOS ANGELES,BASIC,2787.0,13036.0,0.18075755663926277,coast-plaza-hospital
2014,106190796,RONALD REAGAN UCLA MEDICAL CENTER,LOS ANGELES,COMPREHENSIVE,8993.0,31365.0,0.4349080058292787,ronald-reagan-ucla-medical-center
2014,106190812,VALLEY PRESBYTERIAN HOSPITAL,LOS ANGELES,BASIC,7748.0,56398.0,0.7820163147699557,valley-presbyterian-hospital
2014,106190818,USC VERDUGO HILLS HOSPITAL,LOS ANGELES,BASIC,3474.0,17169.0,0.23806585531907815,usc-verdugo-hills-hospital
2014,106190859,WEST HILLS HOSPITAL AND MEDICAL CENTER,LOS ANGELES,BASIC,6876.0,39533.0,0.5481657323273992,west-hills-hospital-and-medical-center
2014,106190878,ADVENTIST HEALTH WHITE MEMORIAL,LOS ANGELES,BASIC,9782.0,47407.0,0.6573468462409888,adventist-health-white-memorial
