year,oshpd_id,facility_name,county_name,er_service_level_desc,ed_admit,ed_visit,burden_score,facility_id,burden_lag_1,burden_lag_2,burden_lag_3,rolling_mean_3,rolling_mean_7,rolling_std_7,pct_change_recent,ed_visits_per_year,month,is_post_covid,year_index,high_burden_next
2019,106164029,ADVENTIST HEALTH HANFORD,KINGS,BASIC,6502.0,103066.0,1.4291161654328213,adventist-health-hanford,1.4819457366813324,1.6031902959981257,1.6290227083960194,1.5047507327040932,1.5125064650361142,0.09495755385625905,-0.03564878925109475,103066.0,1,0,7,0
2020,106164029,ADVENTIST HEALTH HANFORD,KINGS,BASIC,6547.0,81997.0,1.1369727962373144,adventist-health-hanford,1.4291161654328213,1.4819457366813324,1.6031902959981257,1.3493448994504895,1.4774848370018554,0.16809819580572355,-0.2044224089418431,81997.0,1,1,8,0
2021,106164029,ADVENTIST HEALTH HANFORD,KINGS,BASIC,6949.0,80442.0,1.1154111208327382,adventist-health-hanford,1.1369727962373144,1.4291161654328213,1.4819457366813324,1.2271666941676245,1.4263885194032297,0.21692710192439596,-0.01896410844299194,80442.0,1,1,9,0
2022,106164029,ADVENTIST HEALTH HANFORD,KINGS,BASIC,5965.0,92128.0,1.2774495380532374,adventist-health-hanford,1.1154111208327382,1.1369727962373144,1.4291161654328213,1.1766111517077633,1.3818726230902272,0.20983846780776774,0.1452723701548944,92128.0,1,1,10,0
2023,106164029,ADVENTIST HEALTH HANFORD,KINGS,BASIC,5726.0,94386.0,1.3087590319847695,adventist-health-hanford,1.2774495380532374,1.1154111208327382,1.1369727962373144,1.2338732302902484,1.3361206693171912,0.17972332395972568,0.024509378256338872,94386.0,1,1,11,0
2024,106164029,ADVENTIST HEALTH HANFORD,KINGS,BASIC,5667.0,94697.0,1.3130713670656848,adventist-health-hanford,1.3087590319847695,1.2774495380532374,1.1154111208327382,1.299759979034564,1.2946751080411283,0.13600476832521194,0.0032949801877397967,94697.0,1,1,12,0
2018,106234038,ADVENTIST HEALTH HOWARD MEMORIAL,MENDOCINO,BASIC,1129.0,13258.0,0.1838358151214595,adventist-health-howard-memorial,0.1854165424501551,0.1698449916595834,0.0263870535658574,0.17969911641039935,0.14137110069926384,0.07697477177964954,-0.008525276697576993,13258.0,1,0,6,1
2019,106234038,ADVENTIST HEALTH HOWARD MEMORIAL,MENDOCINO,BASIC,1185.0,13655.0,0.1893406287134959,adventist-health-howard-memorial,0.1838358151214595,0.1854165424501551,0.1698449916595834,0.18619766209503683,0.15096500630211027,0.07002893503030364,0.029944184643234027,13655.0,1,0,7,0
2020,106234038,ADVENTIST HEALTH HOWARD MEMORIAL,MENDOCINO,BASIC,1089.0,11123.0,0.1542318427814145,adventist-health-howard-memorial,0.1893406287134959,0.1838358151214595,0.1854165424501551,0.17580276220545663,0.15150947904866097,0.06264998081893727,-0.18542658366898576,11123.0,1,1,8,0
2021,106234038,ADVENTIST HEALTH HOWARD MEMORIAL,MENDOCINO,BASIC,1041.0,12451.0,0.1726459295577984,adventist-health-howard-memorial,0.1542318427814145,0.1893406287134959,0.1838358151214595,0.17207280035090292,0.15452897197853774,0.05774661412919408,0.11939225029218715,12451.0,1,1,9,1
2022,106234038,ADVENTIST HEALTH HOWARD MEMORIAL,MENDOCINO,BASIC,933.0,14061.0,0.1949702365683241,adventist-health-howard-memorial,0.1726459295577984,0.1542318427814145,0.1893406287134959,0.17394933630251233,0.17861228383603298,0.013923193582877672,0.12930688298128673,14061.0,1,1,10,0
2023,106234038,ADVENTIST HEALTH HOWARD MEMORIAL,MENDOCINO,BASIC,942.0,13586.0,0.1883838726987591,adventist-health-howard-memorial,0.1949702365683241,0.1726459295577984,0.1542318427814145,0.18533334627496054,0.1812606954130581,0.013739552800239353,-0.03378138112509769,13586.0,1,1,11,1
